==============================================================================
 OpenVLab 全市场期权波动率地图（ctamap-all 83 品种 · asof 2026-09-08 10:16:46）
==============================================================================
sym    品种         板块    交易所            最新价    ATM隐波    隐波百分位      1日变化       偏度    偏度分位    RV22
RU     橡胶         EN    SHFE      19545.00    24.25     97.5     +1.37     1.92    77.4   13.71
A      豆一         OS    DCE        5140.00    19.99     97.1     +2.86     2.37    90.5   14.26
B      豆二         OS    DCE        4087.00    18.91     95.9     +0.60     1.14    79.3   13.12
SR     白糖         AG    CZCE       5317.00    13.39     95.9     +0.44     1.97    93.4    8.51
NR     20号胶       EN    INE       16485.00    31.31     95.7     +0.15     2.10    95.7   16.80
ZN     沪锌         MT    SHFE      27520.00    21.57     95.0     +2.28     0.80    61.6   15.67
SP     纸浆         EN    SHFE       4846.00    19.40     95.0     -0.02     1.68    57.4   16.63
M      豆粕         OS    DCE        3381.00    18.96     93.4     -0.39     1.39    71.4   13.54
Y      豆油         OS    DCE        9116.00    16.89     91.3     +0.16     1.50    86.4   10.52
OI     菜油         OS    CZCE      10467.00    20.64     90.9     +0.43     1.96    92.6   15.10
BR     丁二烯橡胶      EN    SHFE      15555.00    45.19     88.4     -2.91     1.90    78.5   34.31
EG     乙二醇        EN    DCE        5799.00    46.79     88.0     -5.14     0.33    42.2   46.16
C      玉米         AG    DCE        2294.00    11.73     88.0     +0.54    -0.27     3.3   10.49
BU     沥青         EN    SHFE       5094.00    38.15     87.0     -3.74    -0.73    26.7   26.70
RM     菜粕         OS    CZCE       2351.00    23.23     86.4     +0.02     2.10    81.0   19.30
V      PVC        EN    DCE        4927.00    27.16     85.5     -2.04     0.42    13.6   30.00
PG     LPG        EN    DCE        6616.00    42.86     84.7     +1.16     1.53    70.7   38.58
SF     硅铁         BK    CZCE       6286.00    21.83     83.9     -6.18     0.33     7.0   28.02
BZ     纯苯         EN    DCE        8448.00    35.21     82.5     -3.77     0.49    36.4   34.87
MA     甲醇         EN    CZCE       3253.00    39.99     79.8     -3.67     0.40    29.8   37.26
CS     玉米淀粉       AG    DCE        2555.00    11.08     79.3     +0.69     0.81    82.2   11.56
CJ     红枣         AG    CZCE       7940.00    23.70     78.0     +0.03     1.67    53.0   15.40
UR     尿素         EN    CZCE       1753.00    19.43     76.9     -0.21     1.23    34.2   11.48
JM     焦煤         BK    DCE        1623.00    46.95     76.1     -1.66    -1.23     1.9   37.72
PX     对二甲苯       EN    CZCE       8748.00    31.29     71.8     -2.32     0.81    47.2   30.17
PP     聚丙烯        EN    DCE        9221.00    26.08     70.5     -3.27     0.42    47.1   28.28
PL     丙烯         EN    CZCE       8991.00    26.33     70.3     -6.12    -0.39     4.6   34.16
L      塑料         EN    DCE        8785.00    23.35     68.0     -4.31     0.54    63.5   26.36
CF     郑棉         AG    CZCE      16595.00    14.09     66.5     +0.35     1.57    63.6    8.57
EB     苯乙烯        EN    DCE        9565.00    31.31     65.6     -4.89     0.78    49.8   30.05
159922 中证500ETF   EQ    SZSE          3.17    25.75     64.5     -0.73    -1.31    10.3   24.45
FU     燃油         EN    SHFE       4007.00    52.60     63.9     -5.02     1.35    55.5   48.90
GC     美黄金        MT    COMEX      4438.10    24.50     63.1     +0.80     0.60    86.0   24.63
159901 深证100ETF   EQ    SZSE          3.55    24.82     62.4     -0.44    -0.80    23.6   22.66
P      棕榈油        OS    DCE        9966.00    18.31     62.0     +0.41     1.62    81.8   12.24
